frameIndex;frameTime;pcm_LOGenergy
448;4.480000;-6.669963e+00
449;4.490000;-5.568568e+00
450;4.500000;-4.582399e+00
451;4.510000;-4.254604e+00
452;4.520000;-4.483093e+00
453;4.530000;-5.233743e+00
454;4.540000;-5.479595e+00
455;4.550000;-5.527104e+00
456;4.560000;-5.397925e+00
457;4.570000;-5.225162e+00
458;4.580000;-5.052196e+00
459;4.590000;-4.984534e+00
460;4.600000;-4.948542e+00
461;4.610000;-4.948020e+00
462;4.620000;-4.934363e+00
463;4.630000;-4.861596e+00
464;4.640000;-4.775166e+00
465;4.650000;-4.647627e+00
466;4.660000;-4.526453e+00
467;4.670000;-4.617840e+00
468;4.680000;-4.965230e+00
469;4.690000;-5.449549e+00
470;4.700000;-5.532469e+00
471;4.710000;-5.162254e+00
472;4.720000;-5.011618e+00
473;4.730000;-5.266758e+00
474;4.740000;-5.818462e+00
475;4.750000;-6.212518e+00
476;4.760000;-5.864240e+00
477;4.770000;-5.756005e+00
478;4.780000;-5.777128e+00
479;4.790000;-5.643357e+00
480;4.800000;-5.201825e+00
481;4.810000;-4.345900e+00
482;4.820000;-3.945284e+00
483;4.830000;-3.955070e+00
484;4.840000;-4.191821e+00
485;4.850000;-4.354713e+00
486;4.860000;-4.583746e+00
487;4.870000;-4.388682e+00
488;4.880000;-4.640361e+00
489;4.890000;-5.486626e+00
490;4.900000;-8.612242e+00
491;4.910000;-9.963708e+00
492;4.920000;-1.051002e+01
493;4.930000;-1.096705e+01
494;4.940000;-1.129734e+01
495;4.950000;-1.030589e+01
496;4.960000;-9.068921e+00
497;4.970000;-8.857471e+00
498;4.980000;-8.927485e+00
499;4.990000;-9.097077e+00
500;5.000000;-8.953458e+00
501;5.010000;-8.736623e+00
502;5.020000;-7.480550e+00
503;5.030000;-6.604697e+00
504;5.040000;-5.728351e+00
505;5.050000;-4.726440e+00
506;5.060000;-4.112165e+00
507;5.070000;-3.952412e+00
508;5.080000;-4.022181e+00
509;5.090000;-4.185421e+00
510;5.100000;-4.467814e+00
511;5.110000;-4.577172e+00
512;5.120000;-4.762072e+00
513;5.130000;-5.204109e+00
514;5.140000;-5.806441e+00
515;5.150000;-6.031307e+00
516;5.160000;-6.313831e+00
517;5.170000;-6.133165e+00
518;5.180000;-5.813327e+00
519;5.190000;-5.376654e+00
520;5.200000;-4.850335e+00
521;5.210000;-4.409575e+00
522;5.220000;-4.032540e+00
523;5.230000;-3.802132e+00
524;5.240000;-3.738318e+00
525;5.250000;-3.788619e+00
526;5.260000;-3.884271e+00
527;5.270000;-4.207388e+00
528;5.280000;-4.970066e+00
529;5.290000;-6.514759e+00
530;5.300000;-7.722852e+00
531;5.310000;-7.748230e+00
532;5.320000;-7.274187e+00
533;5.330000;-5.795211e+00
534;5.340000;-4.151589e+00
535;5.350000;-3.557878e+00
536;5.360000;-3.499872e+00
537;5.370000;-3.874841e+00
538;5.380000;-4.243398e+00
539;5.390000;-4.519759e+00
540;5.400000;-4.859756e+00
541;5.410000;-5.586300e+00
542;5.420000;-6.499466e+00
543;5.430000;-6.859354e+00
544;5.440000;-6.739608e+00
545;5.450000;-6.734384e+00
546;5.460000;-6.597175e+00
547;5.470000;-6.734721e+00
548;5.480000;-5.382402e+00
549;5.490000;-4.483439e+00
550;5.500000;-4.036287e+00
551;5.510000;-3.988826e+00
552;5.520000;-4.066940e+00
553;5.530000;-4.463875e+00
554;5.540000;-4.664073e+00
555;5.550000;-4.613373e+00
556;5.560000;-4.542520e+00
557;5.570000;-4.781200e+00
558;5.580000;-5.112695e+00
559;5.590000;-5.215162e+00
560;5.600000;-5.278790e+00
561;5.610000;-5.205466e+00
562;5.620000;-5.151152e+00
563;5.630000;-5.211961e+00
564;5.640000;-5.549946e+00
565;5.650000;-6.286419e+00
566;5.660000;-6.977340e+00
567;5.670000;-7.473032e+00
568;5.680000;-7.517250e+00
569;5.690000;-6.908074e+00
570;5.700000;-6.564616e+00
571;5.710000;-6.377240e+00
572;5.720000;-5.900984e+00
573;5.730000;-5.563583e+00
574;5.740000;-5.497782e+00
575;5.750000;-5.737095e+00
576;5.760000;-5.927515e+00
577;5.770000;-5.103983e+00
578;5.780000;-4.468779e+00
579;5.790000;-4.182259e+00
580;5.800000;-4.043467e+00
581;5.810000;-4.061117e+00
582;5.820000;-4.537356e+00
583;5.830000;-5.608611e+00
584;5.840000;-6.787183e+00
585;5.850000;-8.376735e+00
586;5.860000;-1.023737e+01
587;5.870000;-1.133657e+01
588;5.880000;-6.923931e+00
589;5.890000;-6.114455e+00
590;5.900000;-5.687314e+00
591;5.910000;-5.600594e+00
592;5.920000;-5.219244e+00
593;5.930000;-4.717148e+00
594;5.940000;-3.892599e+00
595;5.950000;-3.578643e+00
596;5.960000;-3.728978e+00
597;5.970000;-4.144279e+00
598;5.980000;-4.594030e+00
599;5.990000;-4.924513e+00
600;6.000000;-4.924798e+00
601;6.010000;-5.129515e+00
602;6.020000;-5.735999e+00
603;6.030000;-7.683217e+00
604;6.040000;-8.295186e+00
605;6.050000;-8.080992e+00
606;6.060000;-7.435326e+00
607;6.070000;-6.817928e+00
608;6.080000;-6.240499e+00
609;6.090000;-5.842683e+00
610;6.100000;-5.520810e+00
611;6.110000;-5.199758e+00
612;6.120000;-4.944446e+00
613;6.130000;-4.846702e+00
614;6.140000;-4.852684e+00
615;6.150000;-4.908388e+00
616;6.160000;-4.961340e+00
617;6.170000;-4.797771e+00
618;6.180000;-4.443524e+00
619;6.190000;-3.808130e+00
620;6.200000;-3.702438e+00
621;6.210000;-4.197704e+00
622;6.220000;-5.939541e+00
623;6.230000;-7.412166e+00
624;6.240000;-8.010121e+00
625;6.250000;-7.753220e+00
626;6.260000;-7.270296e+00
627;6.270000;-7.248535e+00
628;6.280000;-7.545573e+00
629;6.290000;-8.207502e+00
630;6.300000;-8.224759e+00
631;6.310000;-8.075672e+00
632;6.320000;-7.926904e+00
633;6.330000;-7.654056e+00
634;6.340000;-6.410259e+00
635;6.350000;-5.260013e+00
636;6.360000;-4.439236e+00
637;6.370000;-4.150404e+00
638;6.380000;-4.165355e+00
639;6.390000;-4.362521e+00
640;6.400000;-4.701189e+00
641;6.410000;-5.287201e+00
642;6.420000;-6.199490e+00
643;6.430000;-7.145221e+00
644;6.440000;-7.246981e+00
645;6.450000;-7.398472e+00
646;6.460000;-7.508474e+00
647;6.470000;-7.588037e+00
648;6.480000;-7.651862e+00
649;6.490000;-7.603386e+00
650;6.500000;-7.597236e+00
651;6.510000;-7.568385e+00
652;6.520000;-7.550543e+00
653;6.530000;-5.714206e+00
654;6.540000;-4.206613e+00
655;6.550000;-3.572311e+00
